"","x"
"1",261
"2",258
"3",249
"4",251
"5",256
"6",250
"7",247
"8",255
"9",243
"10",252
"11",250
"12",253
"13",247
"14",251
"15",243
"16",258
"17",251
"18",245
"19",250
"20",248
"21",252
"22",254
"23",250
"24",247
"25",253
"26",251
"27",246
"28",249
"29",252
"30",247
"31",250
"32",253
"33",247
"34",249
"35",253
"36",246
"37",251
"38",249
"39",253
